"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
6698, 4.667714300688000e-02, -4.296256322492700e-02, 1.530144001571746e+05, -7.306639060065780e+00, 4.312564303644730e-03, -9.544677055773452e-03
6696, 4.646121494846900e-02, -4.248583829089700e-02, 1.539852041992624e+05, -7.298264283995319e+00, 4.333139235374227e-03, -9.544416149928087e-03
6694, 4.624457837298400e-02, -4.200977203743400e-02, 1.550597676300917e+05, -7.288994413128953e+00, 4.337194676799156e-03, -9.513632799849341e-03
6692, 4.602762099505200e-02, -4.153475032634000e-02, 1.557841629807064e+05, -7.282745315901427e+00, 4.351294032974278e-03, -9.508956519198272e-03
6690, 4.581068387128200e-02, -4.106157503687800e-02, 1.569087854041014e+05, -7.273043604174417e+00, 4.379395370875104e-03, -9.523338876167211e-03
6688, 4.559323377911800e-02, -4.059014123981500e-02, 1.580312506539655e+05, -7.263360501604851e+00, 4.385408954601425e-03, -9.484886105445053e-03
6686, 4.537487905403500e-02, -4.011900409341900e-02, 1.589136338679878e+05, -7.255748500103624e+00, 4.400671143225379e-03, -9.472167478164080e-03
6684, 4.515547331543800e-02, -3.964788941223200e-02, 1.598121825924975e+05, -7.247997044578178e+00, 4.418430413339671e-03, -9.463743715526893e-03
6682, 4.493513197688100e-02, -3.917711902371800e-02, 1.608698098501628e+05, -7.238873275964778e+00, 4.424140893863584e-03, -9.428342726134057e-03
6680, 4.471387389673300e-02, -3.870679129463200e-02, 1.616568469195827e+05, -7.232083791238933e+00, 4.452437496676733e-03, -9.440544468217855e-03
6678, 4.449169340699400e-02, -3.823689211630700e-02, 1.626198172128505e+05, -7.223776594092040e+00, 4.465805215715109e-03, -9.423222764914876e-03
6676, 4.426868744040700e-02, -3.776741061248300e-02, 1.635219503728886e+05, -7.215994216935052e+00, 4.502546840844331e-03, -9.453991458819424e-03
6674, 4.404476465208400e-02, -3.729847641937500e-02, 1.644647854583803e+05, -7.207860718958072e+00, 4.544466168057990e-03, -9.493639486441203e-03
6672, 4.382000287578200e-02, -3.683008390739700e-02, 1.654192207786946e+05, -7.199627149942247e+00, 4.593483656803338e-03, -9.547604270036970e-03
6670, 4.359430966400200e-02, -3.636220097158900e-02, 1.664528856020488e+05, -7.190710096600682e+00, 4.627467104485269e-03, -9.567528363402009e-03
6668, 4.336755198118200e-02, -3.589461820458600e-02, 1.674920629108458e+05, -7.181745489036872e+00, 4.582479584990560e-03, -9.433114494476020e-03
6666, 4.313983390656100e-02, -3.542665466409500e-02, 1.684469717100124e+05, -7.173507835489885e+00, 4.533112506336253e-03, -9.294380403146873e-03
6664, 4.291065405701700e-02, -3.495782629689300e-02, 1.698724721687654e+05, -7.161210557550332e+00, 4.511346200558493e-03, -9.195644400849695e-03
6662, 4.267942355867900e-02, -3.448818316371000e-02, 1.715304697389079e+05, -7.146907610947999e+00, 4.472991132122397e-03, -9.058216126124390e-03
6660, 4.244648922132000e-02, -3.401785005377100e-02, 1.731616251772713e+05, -7.132836221728162e+00, 4.441008674072090e-03, -8.941536016689825e-03
6658, 4.221201283134700e-02, -3.354709744203000e-02, 1.748898460843702e+05, -7.117927483744218e+00, 4.418636452964530e-03, -8.845808202062292e-03
6656, 4.197613120029800e-02, -3.307622544071400e-02, 1.767437991373139e+05, -7.101934099919652e+00, 4.405591704141802e-03, -8.769473024231108e-03
6654, 4.173902053299600e-02, -3.260559094764500e-02, 1.787893867112043e+05, -7.084287554251169e+00, 4.399380477965851e-03, -8.707155657241755e-03
6652, 4.150081528198700e-02, -3.213549078322600e-02, 1.810807527382229e+05, -7.064520766578477e+00, 4.390772943219674e-03, -8.640285290892473e-03
6650, 4.126165943270400e-02, -3.166622647887500e-02, 1.830769047024570e+05, -7.047300684071280e+00, 4.380315977661532e-03, -8.570211955058929e-03
6648, 4.102178151905700e-02, -3.119824769325800e-02, 1.855752605673986e+05, -7.025748269777445e+00, 4.374461330521058e-03, -8.508802690373391e-03
6646, 4.078102229210500e-02, -3.073133500629800e-02, 1.882062726384625e+05, -7.003051478274132e+00, 4.394089155928824e-03, -8.497115708832980e-03
6644, 4.053749181772100e-02, -3.026174743511100e-02, 1.911472647365346e+05, -6.977680600961571e+00, 4.445057906808673e-03, -8.542981441006653e-03
6642, 4.029192699792300e-02, -2.979134004814900e-02, 1.943403912420537e+05, -6.950134651121000e+00, 4.484783175521342e-03, -8.567940643740004e-03
6640, 4.004564272282600e-02, -2.932209579849700e-02, 1.972381353800362e+05, -6.925136858350274e+00, 4.496260800943616e-03, -8.553630820394205e-03
6638, 3.979883719193900e-02, -2.885329211267300e-02, 1.999177506007604e+05, -6.902020785017594e+00, 4.583734708671566e-03, -8.670087704408956e-03
6636, 3.955030787660100e-02, -2.838517496150000e-02, 2.044166563906792e+05, -6.863210348596624e+00, 4.643441820064883e-03, -8.711521995841874e-03
6634, 3.930018959557600e-02, -2.791778356702500e-02, 2.083912805505346e+05, -6.828922700564745e+00, 4.659664461512888e-03, -8.678564826872768e-03
6632, 3.904878904932000e-02, -2.745110262852300e-02, 2.123886400672015e+05, -6.794438922815721e+00, 4.679347265487905e-03, -8.656445360728871e-03
6630, 3.879590732428000e-02, -2.698489876917000e-02, 2.165883269454673e+05, -6.758209739945934e+00, 4.699142206779375e-03, -8.634684065419111e-03
6628, 3.854155253340300e-02, -2.651905442298700e-02, 2.209323092207730e+05, -6.720735772767658e+00, 4.723147937861778e-03, -8.620667255450132e-03
6626, 3.828575244730800e-02, -2.605376650294000e-02, 2.254003692205319e+05, -6.682191431844962e+00, 4.745989292149458e-03, -8.603756013276564e-03
6624, 3.802858795181200e-02, -2.558912773504400e-02, 2.299380147358647e+05, -6.643046801795507e+00, 4.771596197976398e-03, -8.591895199872768e-03
6622, 3.777007362994100e-02, -2.512521803157300e-02, 2.346061839457223e+05, -6.602776190944423e+00, 4.801532939381946e-03, -8.585327083013572e-03
6620, 3.751014790464600e-02, -2.466213682733900e-02, 2.393310382792539e+05, -6.562016577991252e+00, 4.827833583546506e-03, -8.571912727547109e-03
6618, 3.724889309677000e-02, -2.419985182573200e-02, 2.441765017739003e+05, -6.520216513337643e+00, 4.864831348128277e-03, -8.574415387726573e-03
6616, 3.698609172890900e-02, -2.373847164437200e-02, 2.488477711281254e+05, -6.479919158660062e+00, 4.873922655761674e-03, -8.532743924636609e-03
6614, 3.672218544868900e-02, -2.327774825502600e-02, 2.529799993832027e+05, -6.444271916984103e+00, 4.871822305608498e-03, -8.487866224899882e-03
6612, 3.645748183910800e-02, -2.281750824539400e-02, 2.578006912721973e+05, -6.402685548031424e+00, 4.939290877594417e-03, -8.542739001082685e-03
6610, 3.619068086658800e-02, -2.235848574644100e-02, 2.633527272411124e+05, -6.354790137671563e+00, 4.978249467248389e-03, -8.525661389091709e-03
6608, 3.592204467954900e-02, -2.190052810055200e-02, 2.686014017381241e+05, -6.309511717234954e+00, 5.005946682414309e-03, -8.500144989106286e-03
6606, 3.565182329011300e-02, -2.144350046611300e-02, 2.737797438422283e+05, -6.264840028966283e+00, 5.040308394113467e-03, -8.488854894206933e-03
6604, 3.537991449802600e-02, -2.098747594483600e-02, 2.789730450444989e+05, -6.220039293957047e+00, 5.068470070768751e-03, -8.467034197631425e-03
6602, 3.510643493411900e-02, -2.053241254476500e-02, 2.841247368461252e+05, -6.175597508228733e+00, 5.099042338463175e-03, -8.450333416525894e-03
6600, 3.483134188669800e-02, -2.007835984789200e-02, 2.893111597229973e+05, -6.130856110050057e+00, 5.129034011737066e-03, -8.430919369300722e-03
6598, 3.455460561710900e-02, -1.962533560460800e-02, 2.945179194776389e+05, -6.085939272967227e+00, 5.158244708427709e-03, -8.409057164229433e-03
6596, 3.427619954068000e-02, -1.917335747095500e-02, 2.997923503911674e+05, -6.040438661221812e+00, 5.187623148814603e-03, -8.385414385581743e-03
6594, 3.399605978199900e-02, -1.872248700778800e-02, 3.050720247587501e+05, -5.994892816090837e+00, 5.212663188096410e-03, -8.353177057043911e-03
