  BLADE PROFILES IN CARTESIAN COORDINATES (2D) BEFORE   PROJECTION, SCALING, MESHING AND STACKING 
  VARIABLES = "X", "YSS", "YPS" 
  BLADE           1  SECTION           1
    0.912695    0.380342    0.261537
    0.917100    0.381421    0.266296
    0.921401    0.382472    0.270970
    0.925597    0.383495    0.275557
    0.929686    0.384490    0.280053
    0.933669    0.385458    0.284456
    0.937544    0.386397    0.288762
    0.941309    0.387308    0.292967
    0.944965    0.388191    0.297070
    0.948509    0.389046    0.301067
    0.951942    0.389873    0.304955
    0.955262    0.390671    0.308733
    0.958469    0.391441    0.312397
    0.961561    0.392182    0.315944
    0.964539    0.392895    0.319373
    0.967400    0.393579    0.322681
    0.970146    0.394235    0.325865
    0.972774    0.394752    0.328924
    0.975284    0.394723    0.331855
    0.977675    0.394316    0.334656
    0.979948    0.393668    0.337326
    0.982101    0.392844    0.339862
    0.984134    0.391883    0.342262
    0.986046    0.390812    0.344525
    0.987838    0.389645    0.346650
    0.989507    0.388395    0.348635
    0.991055    0.387068    0.350479
    0.992480    0.385670    0.352180
    0.993782    0.384216    0.353737
    0.994962    0.382681    0.355149
    0.996018    0.381086    0.356415
    0.996950    0.379423    0.357534
    0.997759    0.377711    0.358620
    0.998443    0.375954    0.359735
    0.999003    0.374161    0.360953
    0.999439    0.372342    0.362448
    0.999751    0.370498    0.364032
    0.999938    0.368547    0.365751
    1.000000    0.367262    0.367262
  BLADE PROFILES IN CARTESIAN COORDINATES (3D) 
  VARIABLES = "X", "YSS", "YPS" "R" 
  BLADE           1  SECTION           1
  -24.976900  -13.896577  -13.896577 1147.800049
  -22.105434  -13.776239  -13.776239 1147.797729
  -19.545225  -13.668941  -13.668941 1147.795288
  -17.262529  -13.573272  -13.573272 1147.792725
  -15.227279  -13.487967  -13.487967 1147.790039
  -13.412634  -13.411907  -13.411907 1147.787354
  -11.794693  -13.344087  -13.344087 1147.785034
  -10.352137  -13.283621  -13.283621 1147.782837
   -9.065944  -13.229704  -13.229704 1147.780396
   -7.919172  -13.181630  -13.181630 1147.778320
   -6.896705  -13.138771  -13.138771 1147.776367
   -5.985071  -13.100553  -13.100553 1147.774658
   -5.172256  -13.066479  -13.066479 1147.772949
   -4.447547  -13.036097  -13.036097 1147.771240
   -3.801394  -13.009007  -13.009007 1147.770020
   -3.225283  -12.984853  -12.984853 1147.768677
   -2.711619  -12.963322  -12.963322 1147.767700
   -2.253633  -12.944120  -12.944120 1147.766479
   -1.845294  -12.926998  -12.926998 1147.765503
   -1.481219  -12.911736  -12.911736 1147.764648
   -1.156606  -12.898128  -12.898128 1147.763794
   -0.867178  -12.885992  -12.885992 1147.763184
   -0.609128  -12.875172  -12.875172 1147.762573
   -0.379043  -12.865525  -12.865525 1147.761963
   -0.173904  -12.856925  -12.856925 1147.761475
    0.009000  -12.849257  -12.849257 1147.760986
    0.191902  -11.974270  -13.703296 1147.760254
    0.383142  -11.560485  -14.096141 1147.759399
    0.583485  -11.267094  -14.395482 1147.758423
    0.793705  -11.051401  -14.627973 1147.757690
    1.014563  -10.867636  -14.809113 1147.756714
    1.246832  -10.683769  -14.968964 1147.755737
    1.491279  -10.495754  -15.127336 1147.754517
    1.748672  -10.303658  -15.286427 1147.753418
    2.019780  -10.106912  -15.446445 1147.752075
    2.305369   -9.905064  -15.607425 1147.750977
    2.606212   -9.697736  -15.769290 1147.749146
    2.923074   -9.484618  -15.931856 1147.747925
    3.256726   -9.265447  -16.094841 1147.746338
    3.607934   -9.040002  -16.257868 1147.744629
    3.977287   -8.808209  -16.420399 1147.743042
    4.364883   -8.570326  -16.581614 1147.740967
    4.771626   -8.326823  -16.740990 1147.739014
    5.198518   -8.076412  -16.897892 1147.737061
    5.646702   -7.818953  -17.053432 1147.734985
    6.117394   -7.554328  -17.202831 1147.732300
    6.611951   -7.282218  -17.347504 1147.729858
    7.131571   -7.002433  -17.486250 1147.727539
    7.677238   -6.714918  -17.617781 1147.724609
    8.250788   -6.420242  -17.740849 1147.721313
    8.854262   -6.116148  -17.853985 1147.718140
    9.489925   -5.802847  -17.957624 1147.714844
   10.160286   -5.479783  -18.044695 1147.711182
   10.868047   -5.146354  -18.115829 1147.707275
   11.621803   -4.800539  -18.168575 1147.702881
   12.432400   -4.436543  -18.199383 1147.698364
   13.300755   -4.056168  -18.204937 1147.693481
   14.226165   -3.660959  -18.176394 1147.688232
   15.206441   -3.254101  -18.109152 1147.682129
   16.237766   -2.836438  -17.999292 1147.676514
   17.314798   -2.411716  -17.842699 1147.670044
   18.420118   -1.987825  -17.640099 1147.663696
   19.536026   -1.570795  -17.387640 1147.656738
   20.656507   -1.162290  -17.089899 1147.650391
   21.776642   -0.763777  -16.748522 1147.643311
   22.892714   -0.376064  -16.365446 1147.636475
   24.001978    0.000000  -15.945282 1147.629883
   25.102928    0.365711  -15.484194 1147.623535
   26.202955    0.723509  -14.982825 1147.616577
   27.307056    1.075353  -14.439459 1147.610229
   28.414331    1.421255  -13.854469 1147.603271
   29.523314    1.761067  -13.228682 1147.596924
   30.632019    2.094456  -12.563457 1147.590210
   31.737879    2.421013  -11.860797 1147.584106
   32.837765    2.740201  -11.123415 1147.577881
   33.921890    3.049601  -10.359284 1147.571411
   34.984169    3.347989   -9.574853 1147.565674
   36.021694    3.635071   -8.774803 1147.560059
   37.032135    3.910712   -7.963635 1147.554443
   38.013691    4.174918   -7.145575 1147.549438
   38.965164    4.427819   -6.324458 1147.544556
   39.885853    4.669667   -5.503642 1147.539795
   40.779163    4.901714   -4.682691 1147.535400
   41.645962    5.124542   -3.863051 1147.531006
   42.486263    5.338449   -3.046643 1147.526733
   43.300030    5.543700   -2.235826 1147.523193
   44.087315    5.740559   -1.432389 1147.519531
   44.848083    5.929308   -0.638102 1147.516235
   45.582352    6.110033    0.144086 1147.513306
   46.290100    6.282980    0.913148 1147.510010
   46.971367    6.448345    1.667534 1147.507446
   47.626099    6.606266    2.405455 1147.504639
   48.254333    6.756908    3.125351 1147.502197
   48.856060    6.818760    3.825725 1147.500122
   49.431274    6.540083    4.505066 1147.498047
   49.979984    5.465076    5.464598 1147.495972
   50.528717    5.859252    5.859013 1147.495605
   51.108768    6.276193    6.276193 1147.494995
   51.721954    6.716945    6.716945 1147.494019
   52.370155    7.182867    7.182867 1147.493042
   53.055374    7.675397    7.675397 1147.491211
   53.779728    8.196052    8.196052 1147.489014
   54.545448    8.746437    8.746437 1147.486206
   55.354893    9.328245    9.328245 1147.482666
   56.210564    9.943277    9.943277 1147.478149
   57.115105   10.593425   10.593425 1147.472046
   58.071293   11.280687   11.280687 1147.465088
   59.082081   12.007188   12.007188 1147.456665
   60.150600   12.775163   12.775163 1147.446411
   61.280128   13.586980   13.586980 1147.434692
   62.474155   14.445131   14.445131 1147.421021
  BLADE PROFILES IN CARTESIAN COORDINATES (2D) BEFORE   PROJECTION, SCALING, MESHING AND STACKING 
  VARIABLES = "X", "YSS", "YPS" 
  BLADE           1  SECTION           2
    0.000000   -0.000328   -0.000328
    0.000062    0.001669   -0.001815
    0.000249    0.004194   -0.003848
    0.000561    0.006638   -0.005967
