    np2    ns2
    550    550
 Face:           1
        94        93       475
        23       433        24
        93        92       475
        24       433        25
        92       476       475
        25       433        26
        92        91       476
        26       433        27
        91        90       476
       433       432        27
        90        89       476
        27       432        28
        89       477       476
        28       432        29
        89        88       477
        29       432        30
        88        87       477
       432       431        30
        87        86       477
        30       431        31
        86       478       477
        31       431        32
        86        85       478
        32       431        33
        85        84       478
        33       431        34
        84       479       478
       431       430        34
        84        83       479
        34       430        35
        83        82       479
        35       430        36
        82        81       479
        36       430        37
        81       480       479
        37       430        38
        81        80       480
       430       429        38
        80        79       480
        38       429        39
        79        78       480
        39       429        40
        78       481       480
        40       429        41
        78        77       481
       429       428        41
        77        76       481
        41       428        42
        76         8       481
        42       428        43
        75         8        76
        43       428        44
        74         8        75
        44       428        45
        73         8        74
       428       427        45
        72         8        73
        45       427        46
        71         8        72
        46       427        47
        71        70         8
        47       427        48
        70        69         8
        48       427        49
        69        68         8
       427       426        49
        68        67         8
        49       426        50
        67        66         8
        50       426        51
        66        65         8
        51       426        52
        65        64         8
        52       426        53
        64        63         8
       426       425        53
        63        62         8
        53       425        54
        62       447         8
        54       425        55
        61       447        62
        55       425        56
        60       447        61
        56       425        57
       424       447        60
       425       424        57
        59       424        60
       424       423       447
        57       424        58
        58       424        59
       423       448       447
       423       422       448
       422       449       448
       422       421       449
       421       450       449
       421         7       450
 2d points
        0.040000010000000       -0.042106610000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.000000000000000        0.001069440000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.016078840000000       -0.018915140000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
       -0.010000000000000       -0.018915140000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.040000010000000       -0.061021750000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.050000010000000       -0.061021750000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.050000010000000       -0.005855380000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.040000010000000       -0.005855380000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.016078840000000        0.036251230000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
       -0.010000000000000        0.036251230000000        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039994131272210       -0.041929080502440        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039971398303674       -0.041674991107310        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039929491921603       -0.041375882410278        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039867453711348       -0.041050384083068        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039784232506495       -0.040692409404184        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039684970999780       -0.040277605387630        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039567387789010       -0.039788199010206        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039439526258907       -0.039258159278651        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039309757808152       -0.038722525807604        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039179086140215       -0.038185737570171        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.039047182367814       -0.037646998410922        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038914631826047       -0.037107872602654        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038781619640226       -0.036569480749574        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038648119514881       -0.036031820911296        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038514105036455       -0.035494674345454        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038379521041540       -0.034958003785562        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038244380754897       -0.034421802270425        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.038108706341691       -0.033886246615293        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037972537708135       -0.033351597676879        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037835928218773       -0.032817879425819        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037698740156610       -0.032284816719112        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037560935171539       -0.031752168587976        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037422530150437       -0.031220046244418        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037283548739140       -0.030688732041966        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037144069768579       -0.030158318008063        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.037004031229602       -0.029628657714801        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036863331121705       -0.029099532204862        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036722255341586       -0.028570786427775        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036580491690486       -0.028042647695444        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036437968852602       -0.027515361588464        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036294783485764       -0.026988916182069        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036150923382330       -0.026463091417934        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.036006329241861       -0.025937722894755        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.035860989668191       -0.025412866685051        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.035714975215223       -0.024888724227257        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.035568297389054       -0.024365408982456        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.035420840352451       -0.023842815729870        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.035272592881881       -0.023320712959690        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.035123533053626       -0.022799051025314        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034973669675012       -0.022277993255247        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034823079583523       -0.021757708003431        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034671717434126       -0.021238208501190        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034519506265601       -0.020719342920553        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034366419996679       -0.020200974116848        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034212457177598       -0.019683133376082        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.034057568962311       -0.019166004740837        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.033901856493909       -0.018649700392723        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.033745775668425       -0.018134064866585        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.033588917257005       -0.017619159001877        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.033430817757661       -0.017105257357582        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.033271794873286       -0.016592710237688        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.033112123081090       -0.016081955065245        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.032951764548917       -0.015572880613875        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.032790338397582       -0.015064605289966        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.032627569300175       -0.014556208548408        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.032463380543396       -0.014047386480022        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.032297739766705       -0.013538210745307        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.032130647170515       -0.013028758744700        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.031962090258203       -0.012519088027356        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.031792037280695       -0.012009267887281        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.031620528044057       -0.011499357010457        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.031447493562121       -0.010989473244230        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.031272797267146       -0.010479783594559        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.031097196732126       -0.009970172048861        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.030920709901656       -0.009460697403183        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.030741994427734       -0.008951687270825        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.030561091970184       -0.008442943835559        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.030378385122409       -0.007934371350237        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.030193899918945       -0.007426085894847        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.030007638666853       -0.006918061307791        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.029819541819134       -0.006410275160357        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.029629553728860       -0.005902863076569        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.029437754345978       -0.005395929642770        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.029243891916656       -0.004889553935014        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.029047984813921       -0.004383881672692        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.028851397701665       -0.003878683484548        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.028652917158031       -0.003373995188397        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.028450719930808       -0.002869723785193        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.028245718044915       -0.002365608936647        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.028038326172486       -0.001861992881996        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.027828464286690       -0.001359048692353        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.027616110868818       -0.000856865756970        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.027401372443480       -0.000355744825784        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.027183802410193        0.000144126255518        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.026963683227079        0.000643320118889        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.026742436663628        0.001142368288861        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.026517261257571        0.001640023090950        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.026287506069445        0.002136403248969        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.026054434535724        0.002631910543160        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
        0.025818030090931        0.003126082767263        1.000000000000000        0.000000000000000        0.000000000000000        1.000000000000000
